Name	pKd	Kcal/mol
tensor(152)	5.0696	-6.9117
tensor(153)	5.5991	-7.6335
tensor(154)	5.609	-7.647
tensor(155)	5.4341	-7.4086
tensor(156)	5.8439	-7.9673
tensor(157)	6.4201	-8.7528
tensor(158)	5.7019	-7.7737
tensor(159)	7.0005	-9.5441
tensor(160)	5.1891	-7.0746
tensor(161)	6.4038	-8.7306
tensor(162)	5.8087	-7.9193
tensor(163)	5.6662	-7.725
tensor(164)	6.2422	-8.5102
tensor(165)	5.3527	-7.2976
tensor(166)	4.9956	-6.8107
tensor(167)	4.8457	-6.6064
tensor(168)	6.8833	-9.3844
tensor(169)	5.1696	-7.0479
tensor(170)	4.5911	-6.2593
tensor(171)	5.9803	-8.1533
tensor(172)	5.831	-7.9497
tensor(173)	6.5027	-8.8654
tensor(174)	6.9929	-9.5337
tensor(175)	5.4374	-7.413
tensor(176)	6.9105	-9.4214
tensor(177)	6.205	-8.4595
tensor(178)	6.0216	-8.2095
tensor(179)	5.11	-6.9666
tensor(180)	5.2944	-7.2181
tensor(181)	6.1369	-8.3667
tensor(182)	6.4968	-8.8573
tensor(183)	6.7467	-9.1981
tensor(184)	6.1947	-8.4455
tensor(185)	6.3042	-8.5947
tensor(186)	6.3729	-8.6885
tensor(187)	6.968	-9.4998
tensor(188)	4.8276	-6.5817
tensor(189)	4.8894	-6.6659
tensor(190)	5.2686	-7.1829
tensor(191)	6.6896	-9.1203
tensor(192)	5.3879	-7.3456
tensor(193)	5.7128	-7.7885
tensor(194)	5.2934	-7.2167
tensor(195)	5.5041	-7.504
tensor(196)	5.1719	-7.0511
tensor(197)	5.1918	-7.0783
tensor(198)	6.0357	-8.2287
tensor(199)	6.1474	-8.3811
tensor(200)	6.2367	-8.5027
tensor(201)	6.2048	-8.4592
tensor(202)	5.8595	-7.9885
tensor(203)	6.3098	-8.6024
tensor(204)	6.6473	-9.0626
tensor(205)	5.8422	-7.9649
tensor(206)	5.8776	-8.0132
tensor(207)	5.5745	-7.6
tensor(208)	5.4935	-7.4896
tensor(209)	5.331	-7.2679
tensor(210)	5.7971	-7.9034
tensor(211)	5.8122	-7.9241
tensor(212)	4.7012	-6.4094
tensor(213)	5.0501	-6.885
tensor(214)	6.1716	-8.414
tensor(215)	6.2247	-8.4865
tensor(216)	6.4588	-8.8056
tensor(217)	5.9999	-8.1799
tensor(218)	5.679	-7.7424
tensor(219)	6.0187	-8.2055
tensor(220)	6.3527	-8.6609
tensor(221)	6.8315	-9.3138
tensor(222)	5.826	-7.9428
tensor(223)	6.5831	-8.9751
tensor(224)	6.025	-8.2142
tensor(225)	5.5587	-7.5784
tensor(226)	5.8763	-8.0114
tensor(227)	4.5508	-6.2043
tensor(228)	5.5884	-7.619
tensor(229)	5.7284	-7.8097
tensor(230)	5.0898	-6.9392
tensor(231)	6.2392	-8.5062
tensor(232)	6.4661	-8.8155
tensor(233)	5.1146	-6.9729
tensor(234)	6.8609	-9.3538
tensor(235)	5.8032	-7.9117
tensor(236)	5.6633	-7.7211
tensor(237)	5.7709	-7.8677
tensor(238)	6.5061	-8.8701
tensor(239)	6.0936	-8.3077
tensor(240)	5.9089	-8.0559
tensor(241)	5.6221	-7.6648
tensor(242)	6.0705	-8.2762
tensor(243)	7.2652	-9.905
tensor(244)	6.0747	-8.2819
tensor(245)	6.0038	-8.1853
tensor(246)	6.2737	-8.5532
tensor(247)	5.9031	-8.048
tensor(248)	6.1774	-8.4219
tensor(249)	5.2545	-7.1637
tensor(250)	6.0237	-8.2125
tensor(251)	6.8211	-9.2995
tensor(252)	5.4414	-7.4186
tensor(253)	7.1278	-9.7177
tensor(254)	6.622	-9.028
tensor(255)	6.5763	-8.9657
tensor(256)	6.3993	-8.7244
tensor(257)	6.6541	-9.0719
tensor(258)	5.4452	-7.4237
tensor(259)	5.0813	-6.9276
tensor(260)	7.5506	-10.2941
tensor(261)	5.8584	-7.987
tensor(262)	5.516	-7.5202
tensor(263)	5.7626	-7.8564
tensor(264)	6.193	-8.4432
tensor(265)	5.4967	-7.4939
tensor(266)	6.2193	-8.479
tensor(267)	6.1931	-8.4434
tensor(268)	6.3749	-8.6912
tensor(269)	6.6921	-9.1236
tensor(270)	5.7096	-7.7842
tensor(271)	5.5735	-7.5986
tensor(272)	6.7649	-9.2229
tensor(273)	6.2717	-8.5506
tensor(274)	6.1647	-8.4045
tensor(275)	5.8199	-7.9345
tensor(276)	5.9589	-8.1241
tensor(277)	6.3653	-8.6781
tensor(278)	6.2034	-8.4574
tensor(279)	5.8669	-7.9986
tensor(280)	6.0356	-8.2286
tensor(281)	6.2004	-8.4533
tensor(282)	6.1682	-8.4094
tensor(283)	6.7548	-9.2091
tensor(284)	5.4794	-7.4703
tensor(285)	6.8444	-9.3313
tensor(286)	6.0159	-8.2017
tensor(287)	5.9631	-8.1297
tensor(288)	5.4736	-7.4624
tensor(289)	7.1477	-9.7448
tensor(290)	6.3604	-8.6714
tensor(291)	6.2499	-8.5208
tensor(292)	6.8604	-9.3531
tensor(293)	5.957	-8.1215
tensor(294)	6.3901	-8.712
tensor(295)	6.6393	-9.0517
tensor(296)	6.407	-8.735
tensor(297)	5.4737	-7.4625
tensor(298)	5.4494	-7.4294
tensor(299)	6.5528	-8.9337
tensor(300)	6.7341	-9.1809
tensor(301)	6.0459	-8.2426
tensor(302)	4.2248	-5.7598
tensor(303)	5.4686	-7.4556
tensor(304)	5.7311	-7.8135
tensor(305)	5.9734	-8.1438
tensor(306)	7.3146	-9.9724
tensor(307)	6.3502	-8.6575
tensor(308)	6.0451	-8.2416
tensor(309)	6.4828	-8.8383
tensor(310)	5.999	-8.1788
tensor(311)	5.7112	-7.7863
tensor(312)	4.6947	-6.4005
tensor(313)	5.7972	-7.9036
tensor(314)	6.2389	-8.5057
tensor(315)	5.9234	-8.0756
tensor(316)	6.2464	-8.516
tensor(317)	4.9823	-6.7925
tensor(318)	6.6132	-9.0161
tensor(319)	7.1729	-9.7792
tensor(320)	5.8034	-7.9121
tensor(321)	5.636	-7.6838
tensor(322)	5.6541	-7.7085
tensor(323)	5.8974	-8.0403
tensor(324)	6.1486	-8.3827
tensor(325)	6.2567	-8.53
tensor(326)	5.356	-7.3021
tensor(327)	5.5287	-7.5375
tensor(328)	5.8934	-8.0348
tensor(329)	5.6931	-7.7617
tensor(330)	6.1818	-8.428
tensor(331)	5.9467	-8.1074
tensor(332)	5.3182	-7.2505
tensor(333)	6.4691	-8.8196
tensor(334)	6.3033	-8.5936
tensor(335)	6.4441	-8.7855
tensor(336)	5.5539	-7.5718
tensor(337)	6.5004	-8.8623
tensor(338)	5.8788	-8.0148
tensor(339)	7.0605	-9.6259
tensor(340)	6.2633	-8.5391
tensor(341)	4.3981	-5.9961
tensor(342)	4.77	-6.5031
tensor(343)	6.3459	-8.6517
tensor(344)	5.7769	-7.8759
tensor(345)	6.6269	-9.0347
tensor(346)	5.2698	-7.1845
tensor(347)	6.3578	-8.6679
tensor(348)	5.264	-7.1767
tensor(349)	6.4443	-8.7858
tensor(350)	5.7455	-7.8331
tensor(351)	5.6639	-7.7219
tensor(352)	6.6635	-9.0847
tensor(353)	5.0456	-6.8789
tensor(354)	6.1586	-8.3963
tensor(355)	6.4946	-8.8544
tensor(356)	5.2913	-7.2139
tensor(357)	5.8654	-7.9966
tensor(358)	6.9279	-9.4451
tensor(359)	5.7194	-7.7975
tensor(360)	5.7269	-7.8078
tensor(361)	5.6262	-7.6704
tensor(362)	5.9165	-8.0662
tensor(363)	4.6193	-6.2977
tensor(364)	5.8775	-8.013
tensor(365)	5.9946	-8.1727
tensor(366)	6.3941	-8.7174
tensor(367)	6.5221	-8.8919
tensor(368)	6.0976	-8.3132
tensor(369)	5.2107	-7.104
tensor(370)	6.0783	-8.2869
tensor(371)	5.5601	-7.5803
tensor(372)	6.4708	-8.822
tensor(373)	6.2127	-8.47
tensor(374)	5.8421	-7.9648
tensor(375)	5.0617	-6.9009
tensor(376)	5.6932	-7.7618
tensor(377)	6.6648	-9.0865
tensor(378)	6.0989	-8.3149
tensor(379)	7.1783	-9.7866
tensor(380)	5.6899	-7.7573
tensor(381)	5.2307	-7.1313
tensor(382)	6.2622	-8.5376
tensor(383)	6.7179	-9.1588
tensor(384)	5.6802	-7.7441
tensor(385)	5.4055	-7.3695
tensor(386)	6.4846	-8.8407
tensor(387)	6.489	-8.8467
tensor(388)	5.8683	-8.0005
tensor(389)	5.1066	-6.9621
tensor(390)	6.9734	-9.5072
tensor(391)	5.6434	-7.694
tensor(392)	5.8175	-7.9313
tensor(393)	6.2642	-8.5403
tensor(394)	5.9156	-8.065
tensor(395)	6.7232	-9.1661
tensor(396)	6.2822	-8.5648
tensor(397)	5.9601	-8.1257
tensor(398)	6.115	-8.3368
tensor(399)	6.2575	-8.5312
tensor(400)	5.2907	-7.213
tensor(401)	5.3121	-7.2422
tensor(402)	5.93	-8.0847
tensor(403)	6.6907	-9.1217
tensor(404)	6.3399	-8.6435
tensor(405)	5.9963	-8.175
tensor(406)	5.8305	-7.949
tensor(407)	5.8776	-8.0132
tensor(408)	6.2967	-8.5846
tensor(409)	6.1008	-8.3174
tensor(410)	6.2842	-8.5675
tensor(411)	6.2248	-8.4866
tensor(412)	6.1642	-8.404
tensor(413)	6.0773	-8.2855
tensor(414)	5.8102	-7.9214
tensor(415)	5.5397	-7.5526
tensor(416)	6.6135	-9.0166
tensor(417)	6.3954	-8.7192
tensor(418)	5.9999	-8.18
tensor(419)	5.9097	-8.057
tensor(420)	5.109	-6.9654
tensor(421)	6.2457	-8.515
tensor(422)	6.0395	-8.234
tensor(423)	6.8311	-9.3131
tensor(424)	7.2623	-9.901
tensor(425)	5.5897	-7.6207
tensor(426)	6.6304	-9.0396
tensor(427)	6.2699	-8.5481
tensor(428)	5.8614	-7.9912
tensor(429)	5.0496	-6.8844
tensor(430)	6.1478	-8.3816
tensor(431)	5.534	-7.5447
tensor(432)	6.0722	-8.2785
tensor(433)	6.7018	-9.1369
tensor(434)	5.1343	-6.9998
tensor(435)	5.2483	-7.1552
tensor(436)	5.8301	-7.9485
tensor(437)	6.6255	-9.0329
tensor(438)	5.9957	-8.1743
tensor(439)	6.0523	-8.2513
tensor(440)	5.4639	-7.4492
tensor(441)	5.7463	-7.8342
tensor(442)	5.6966	-7.7664
tensor(443)	5.9964	-8.1751
tensor(444)	6.6632	-9.0842
tensor(445)	6.6603	-9.0803
tensor(446)	4.9967	-6.8123
tensor(447)	5.8534	-7.9802
tensor(448)	6.0385	-8.2325
tensor(449)	5.8521	-7.9784
tensor(450)	6.5299	-8.9025
tensor(451)	5.3612	-7.3092
tensor(452)	5.8262	-7.9432
tensor(453)	6.6716	-9.0956
tensor(454)	5.8083	-7.9187
tensor(455)	5.5466	-7.5619
tensor(456)	7.289	-9.9374
tensor(457)	5.6008	-7.6359
tensor(458)	5.0114	-6.8322
tensor(459)	5.685	-7.7507
tensor(460)	5.4372	-7.4128
tensor(461)	6.4814	-8.8363
tensor(462)	6.5049	-8.8685
tensor(463)	5.1259	-6.9884
tensor(464)	6.2384	-8.505
tensor(465)	4.6304	-6.3128
tensor(466)	5.3988	-7.3605
tensor(467)	5.3103	-7.2398
tensor(468)	6.7022	-9.1375
tensor(469)	5.4927	-7.4885
tensor(470)	5.157	-7.0308
tensor(471)	5.4179	-7.3865
tensor(472)	5.1128	-6.9705
tensor(473)	4.5844	-6.2501
tensor(474)	6.6192	-9.0243
tensor(475)	5.4998	-7.4982
tensor(476)	5.0043	-6.8225
tensor(477)	5.4308	-7.4041
tensor(478)	5.3335	-7.2714
tensor(479)	5.8185	-7.9326
tensor(480)	5.5066	-7.5074
tensor(481)	6.0373	-8.2309
tensor(482)	5.5534	-7.5712
tensor(483)	5.8842	-8.0222
tensor(484)	5.1568	-7.0306
tensor(485)	5.8768	-8.0121
tensor(486)	6.5818	-8.9733
tensor(487)	5.7872	-7.89
tensor(488)	6.926	-9.4425
tensor(489)	6.2847	-8.5682
tensor(490)	5.9462	-8.1068
tensor(491)	5.8003	-7.9078
tensor(492)	6.667	-9.0894
tensor(493)	6.4918	-8.8506
tensor(494)	4.3355	-5.9108
tensor(495)	5.8288	-7.9467
tensor(496)	6.3821	-8.701
tensor(497)	4.8789	-6.6517
tensor(498)	5.707	-7.7807
tensor(499)	6.5745	-8.9633
